symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU3,-2,0,0.25,19001450014,19001450007,2,15327.25,15328.00,$3.00,09/08/2023 12:03:16,09/08/2023 12:03:09,7sec
NQU3,-2,0,0.25,19001450029,19001450022,2,15353.75,15356.25,$100.00,09/08/2023 12:21:43,09/08/2023 12:21:37,5sec
NQU3,-2,0,0.25,19001450070,19001450037,1,15353.00,15355.50,$50.00,09/08/2023 12:25:22,09/08/2023 12:25:02,20sec
NQU3,-2,0,0.25,19001450075,19001450037,1,15353.50,15355.50,$40.00,09/08/2023 12:25:22,09/08/2023 12:25:02,20sec
NQU3,-2,0,0.25,19001450143,19001450086,2,15340.50,15340.75,$10.00,09/08/2023 12:29:37,09/08/2023 12:28:11,1min 25sec
NQU3,-2,0,0.25,19001450188,19001450155,2,15336.75,15336.75,$0.00,09/08/2023 12:30:52,09/08/2023 12:30:05,47sec
NQU3,-2,0,0.25,19001450256,19001450199,2,15325.00,15335.25,$410.00,09/08/2023 12:32:20,09/08/2023 12:31:46,33sec
NQU3,-2,0,0.25,19001450292,19001450267,2,15325.25,15322.25,$(120.00),09/08/2023 12:37:26,09/08/2023 12:36:58,28sec
NQU3,-2,0,0.25,19001450324,19001450303,2,15326.75,15331.50,$190.00,09/08/2023 12:44:58,09/08/2023 12:44:48,9sec
NQU3,-2,0,0.25,19001450329,19001450338,1,15330.25,15331.25,$20.00,09/08/2023 12:45:09,09/08/2023 12:45:13,3sec
NQU3,-2,0,0.25,19001450332,19001450338,1,15330.25,15331.25,$20.00,09/08/2023 12:45:09,09/08/2023 12:45:13,3sec
NQU3,-2,0,0.25,19001450354,19001450348,2,15320.00,15319.50,$(20.00),09/08/2023 12:46:43,09/08/2023 12:46:40,2sec
NQU3,-2,0,0.25,19001450368,19001450362,2,15319.50,15319.50,$0.00,09/08/2023 12:46:48,09/08/2023 12:46:47,1sec
NQU3,-2,0,0.25,19001450389,19001450376,2,15318.50,15318.25,$(10.00),09/08/2023 12:47:02,09/08/2023 12:46:53,8sec
NQU3,-2,0,0.25,19001450421,19001450404,1,15314.00,15314.50,$10.00,09/08/2023 12:47:38,09/08/2023 12:47:27,10sec
NQU3,-2,0,0.25,19001450426,19001450404,1,15314.00,15314.50,$10.00,09/08/2023 12:47:41,09/08/2023 12:47:27,14sec
NQU3,-2,0,0.25,19001450470,19001450437,2,15304.75,15308.50,$150.00,09/08/2023 12:50:25,09/08/2023 12:50:01,23sec
NQU3,-2,0,0.25,19001450518,19001450481,2,15308.00,15301.00,$(280.00),09/08/2023 13:12:35,09/08/2023 13:11:35,59sec
NQU3,-2,0,0.25,19001450529,19001450576,1,15327.50,15330.75,$65.00,09/08/2023 13:19:46,09/08/2023 13:21:02,1min 15sec
NQU3,-2,0,0.25,19001450529,19001450581,1,15327.50,15330.50,$60.00,09/08/2023 13:19:46,09/08/2023 13:21:02,1min 15sec
NQU3,-2,0,0.25,19001450605,19001450592,2,15294.50,15294.25,$(10.00),09/08/2023 14:13:49,09/08/2023 14:13:39,9sec
NQU3,-2,0,0.25,19001450641,19001450616,1,15283.50,15284.25,$15.00,09/08/2023 14:16:27,09/08/2023 14:16:04,23sec
NQU3,-2,0,0.25,19001450646,19001450616,1,15283.50,15284.25,$15.00,09/08/2023 14:16:29,09/08/2023 14:16:04,25sec
NQU3,-2,0,0.25,19001450686,19001450657,2,15278.00,15280.25,$90.00,09/08/2023 14:40:03,09/08/2023 14:39:45,18sec
NQU3,-2,0,0.25,19001450722,19001450697,2,15258.25,15259.25,$40.00,09/08/2023 15:01:42,09/08/2023 15:01:27,14sec
NQU3,-2,0,0.25,19001450770,19001450733,2,15265.50,15266.50,$40.00,09/08/2023 15:11:47,09/08/2023 15:11:06,41sec
NQU3,-2,0,0.25,19001450794,19001450781,2,15266.75,15267.50,$30.00,09/08/2023 15:18:05,09/08/2023 15:17:58,6sec
NQU3,-2,0,0.25,19001450818,19001450805,2,15264.75,15265.00,$10.00,09/08/2023 15:19:21,09/08/2023 15:19:14,7sec
NQU3,-2,0,0.25,19001450878,19001450829,2,15257.75,15258.50,$30.00,09/08/2023 15:22:08,09/08/2023 15:21:17,51sec
NQU3,-2,0,0.25,19001450911,19001450889,2,15264.75,15267.00,$90.00,09/08/2023 15:27:29,09/08/2023 15:27:07,21sec
NQU3,-2,0,0.25,19001450919,19001450932,2,15273.50,15273.50,$0.00,09/08/2023 15:31:22,09/08/2023 15:31:31,9sec
NQU3,-2,0,0.25,19001450943,19001450956,2,15277.50,15273.50,$(160.00),09/08/2023 15:31:42,09/08/2023 15:32:10,28sec
NQU3,-2,0,0.25,19001450988,19001450967,1,15264.25,15266.25,$40.00,09/08/2023 15:36:23,09/08/2023 15:36:10,12sec
NQU3,-2,0,0.25,19001450993,19001450967,1,15264.25,15266.25,$40.00,09/08/2023 15:36:23,09/08/2023 15:36:10,12sec
NQU3,-2,0,0.25,19001451013,19001451004,2,15263.50,15260.25,$(130.00),09/08/2023 15:39:28,09/08/2023 15:39:22,6sec
NQU3,-2,0,0.25,19001451024,19001451038,2,15267.50,15268.00,$20.00,09/08/2023 15:40:04,09/08/2023 15:40:15,11sec
NQU3,-2,0,0.25,19001451046,19001451076,1,15273.25,15268.50,$(95.00),09/08/2023 15:41:08,09/08/2023 15:41:43,35sec
NQU3,-2,0,0.25,19001451046,19001451081,1,15273.25,15268.25,$(100.00),09/08/2023 15:41:08,09/08/2023 15:41:43,35sec
NQU3,-2,0,0.25,19001451102,19001451089,2,15274.25,15274.75,$20.00,09/08/2023 15:49:41,09/08/2023 15:49:17,23sec
NQU3,-2,0,0.25,19001451113,19001451151,2,15280.00,15282.50,$100.00,09/08/2023 15:51:17,09/08/2023 15:51:48,30sec
NQU3,-2,0,0.25,19001451179,19001451159,1,15277.00,15273.00,$(80.00),09/08/2023 15:53:13,09/08/2023 15:52:44,28sec
NQU3,-2,0,0.25,19001451184,19001451159,1,15277.25,15273.00,$(85.00),09/08/2023 15:53:13,09/08/2023 15:52:44,28sec
NQU3,-2,0,0.25,19001451220,19001451195,2,15283.00,15277.00,$(240.00),09/08/2023 15:55:26,09/08/2023 15:54:54,32sec
NQU3,-2,0,0.25,19001451240,19001451231,1,15286.25,15282.75,$(70.00),09/08/2023 15:56:51,09/08/2023 15:56:29,21sec
